,UA_close,ATM,close_CE,volume_CE,oi_CE,close_PE,volume_PE,oi_PE,previous_OI_CE,previous_OI_PE,COI_CE,COI_IN_LOT_CE,COI_PE,COI_IN_LOT_PE,COI_Percentage_CE,PUT/CALL,CALL/PUT,COI_Percentage_PE
2023-05-08 09:15:00+05:30,42978.05,43000.0,249.5,6891300.0,3904725.0,271.45,3432950.0,2296875.0,,,,,,,,,,
2023-05-08 09:20:00+05:30,43038.0,43000.0,293.6,5898925.0,4218550.0,229.95,3717925.0,3313950.0,3904725.0,2296875.0,313825.0,12553.0,1017075.0,40683.0,7.0,3.24,0.31,31.0
2023-05-08 09:25:00+05:30,43128.8,43100.0,297.6,3851475.0,1635200.0,232.2,2471400.0,1146600.0,4218550.0,3313950.0,-2583350.0,-103334.0,-2167350.0,-86694.0,158.0,0.84,1.19,189.0
2023-05-08 09:30:00+05:30,43170.7,43200.0,247.3,3087900.0,2509200.0,268.5,1365700.0,1207500.0,1635200.0,1146600.0,874000.0,34960.0,60900.0,2436.0,35.0,0.07,14.35,5.0
2023-05-08 09:35:00+05:30,43168.45,43200.0,247.15,2668600.0,2815750.0,262.35,1599075.0,1590825.0,2509200.0,1207500.0,306550.0,12262.0,383325.0,15333.0,11.0,1.25,0.8,24.0
2023-05-08 09:40:00+05:30,43179.85,43200.0,253.15,2405850.0,2980625.0,250.6,1568450.0,1867500.0,2815750.0,1590825.0,164875.0,6595.0,276675.0,11067.0,6.0,1.68,0.6,15.0
2023-05-08 09:45:00+05:30,43259.7,43300.0,240.3,2561425.0,2501700.0,261.15,886225.0,886625.0,2980625.0,1867500.0,-478925.0,-19157.0,-980875.0,-39235.0,19.0,2.05,0.49,111.0
2023-05-08 09:50:00+05:30,43250.35,43300.0,244.3,3080175.0,2520550.0,260.4,2291625.0,1395300.0,2501700.0,886625.0,18850.0,754.0,508675.0,20347.0,1.0,26.99,0.04,36.0
2023-05-08 09:55:00+05:30,43304.05,43300.0,257.7,2517475.0,2683150.0,249.45,1459525.0,1488750.0,2520550.0,1395300.0,162600.0,6504.0,93450.0,3738.0,6.0,0.57,1.74,6.0
2023-05-08 10:00:00+05:30,43292.7,43300.0,256.0,2597300.0,2780775.0,247.75,1663875.0,1661700.0,2683150.0,1488750.0,97625.0,3905.0,172950.0,6918.0,4.0,1.77,0.56,10.0
2023-05-08 10:05:00+05:30,43247.45,43200.0,278.7,2456275.0,2695075.0,230.4,2577350.0,2707050.0,2780775.0,1661700.0,-85700.0,-3428.0,1045350.0,41814.0,3.0,12.2,0.08,39.0
2023-05-08 10:10:00+05:30,43174.95,43200.0,246.1,1981050.0,2760250.0,260.25,3049850.0,2729625.0,2695075.0,2707050.0,65175.0,2607.0,22575.0,903.0,2.0,0.35,2.89,1.0
2023-05-08 10:15:00+05:30,43200.35,43200.0,264.25,2041275.0,2894425.0,241.65,3136825.0,2865050.0,2760250.0,2729625.0,134175.0,5367.0,135425.0,5417.0,5.0,1.01,0.99,5.0
2023-05-08 10:20:00+05:30,43283.55,43300.0,252.4,2391800.0,3062325.0,252.95,1711275.0,1595875.0,2894425.0,2865050.0,167900.0,6716.0,-1269175.0,-50767.0,5.0,7.56,0.13,80.0
2023-05-08 10:25:00+05:30,43265.4,43300.0,253.85,1913850.0,3138975.0,250.35,1124700.0,1690750.0,3062325.0,1595875.0,76650.0,3066.0,94875.0,3795.0,2.0,1.24,0.81,6.0
2023-05-08 10:30:00+05:30,43256.7,43300.0,233.9,2360900.0,3272925.0,264.35,1206750.0,1761675.0,3138975.0,1690750.0,133950.0,5358.0,70925.0,2837.0,4.0,0.53,1.89,4.0
2023-05-08 10:35:00+05:30,43256.55,43300.0,235.25,1008575.0,3178925.0,264.8,899825.0,1852775.0,3272925.0,1761675.0,-94000.0,-3760.0,91100.0,3644.0,3.0,0.97,1.03,5.0
2023-05-08 10:40:00+05:30,43276.15,43300.0,248.95,1088475.0,3241900.0,244.2,922950.0,1850200.0,3178925.0,1852775.0,62975.0,2519.0,-2575.0,-103.0,2.0,0.04,24.46,0.0
2023-05-08 10:45:00+05:30,43320.8,43300.0,271.6,3346575.0,3188450.0,224.2,1713200.0,1861500.0,3241900.0,1850200.0,-53450.0,-2138.0,11300.0,452.0,2.0,0.21,4.73,1.0
2023-05-08 10:50:00+05:30,43262.65,43300.0,240.95,2271225.0,3178775.0,254.8,1426925.0,1939275.0,3188450.0,1861500.0,-9675.0,-387.0,77775.0,3111.0,0.0,8.04,0.12,4.0
2023-05-08 10:55:00+05:30,43274.1,43300.0,241.0,919050.0,3283000.0,253.6,830500.0,2041250.0,3178775.0,1939275.0,104225.0,4169.0,101975.0,4079.0,3.0,0.98,1.02,5.0
2023-05-08 11:00:00+05:30,43248.1,43200.0,284.95,1002150.0,2969700.0,214.8,927575.0,2819800.0,3283000.0,2041250.0,-313300.0,-12532.0,778550.0,31142.0,11.0,2.48,0.4,28.0
2023-05-08 11:05:00+05:30,43218.8,43200.0,270.05,1196050.0,2945475.0,223.95,1359575.0,2870375.0,2969700.0,2819800.0,-24225.0,-969.0,50575.0,2023.0,1.0,2.09,0.48,2.0
2023-05-08 11:10:00+05:30,43257.85,43300.0,237.85,1088000.0,3413925.0,251.8,924300.0,2156600.0,2945475.0,2870375.0,468450.0,18738.0,-713775.0,-28551.0,14.0,1.52,0.66,33.0
2023-05-08 11:15:00+05:30,43253.95,43300.0,236.5,873300.0,3441650.0,250.85,613725.0,2171375.0,3413925.0,2156600.0,27725.0,1109.0,14775.0,591.0,1.0,0.53,1.88,1.0
2023-05-08 11:20:00+05:30,43243.2,43200.0,286.6,829025.0,3079350.0,209.0,825925.0,2905350.0,3441650.0,2171375.0,-362300.0,-14492.0,733975.0,29359.0,12.0,2.03,0.49,25.0
2023-05-08 11:25:00+05:30,43229.45,43200.0,281.35,652350.0,3120075.0,213.45,714925.0,2917025.0,3079350.0,2905350.0,40725.0,1629.0,11675.0,467.0,1.0,0.29,3.49,0.0
2023-05-08 11:30:00+05:30,43213.3,43200.0,284.2,1023225.0,3186900.0,216.0,934125.0,2944175.0,3120075.0,2917025.0,66825.0,2673.0,27150.0,1086.0,2.0,0.41,2.46,1.0
2023-05-08 11:35:00+05:30,43287.75,43300.0,255.0,1370325.0,3625700.0,233.8,1134425.0,2180825.0,3186900.0,2944175.0,438800.0,17552.0,-763350.0,-30534.0,12.0,1.74,0.57,35.0
2023-05-08 11:40:00+05:30,43289.9,43300.0,251.75,1581225.0,3868425.0,236.5,861675.0,2273150.0,3625700.0,2180825.0,242725.0,9709.0,92325.0,3693.0,6.0,0.38,2.63,4.0
2023-05-08 11:45:00+05:30,43307.35,43300.0,262.9,1591525.0,3889150.0,223.95,861975.0,2329625.0,3868425.0,2273150.0,20725.0,829.0,56475.0,2259.0,1.0,2.72,0.37,2.0
2023-05-08 11:50:00+05:30,43302.8,43300.0,257.85,1291925.0,3943825.0,229.0,808500.0,2470575.0,3889150.0,2329625.0,54675.0,2187.0,140950.0,5638.0,1.0,2.58,0.39,6.0
2023-05-08 11:55:00+05:30,43299.0,43300.0,254.45,578525.0,4001450.0,230.9,568800.0,2509575.0,3943825.0,2470575.0,57625.0,2305.0,39000.0,1560.0,1.0,0.68,1.48,2.0
2023-05-08 12:00:00+05:30,43315.9,43300.0,268.0,3057525.0,4035900.0,215.0,1992750.0,2517675.0,4001450.0,2509575.0,34450.0,1378.0,8100.0,324.0,1.0,0.24,4.25,0.0
2023-05-08 12:05:00+05:30,43290.85,43300.0,253.5,1823325.0,3992325.0,229.25,894875.0,2526400.0,4035900.0,2517675.0,-43575.0,-1743.0,8725.0,349.0,1.0,0.2,4.99,0.0
2023-05-08 12:10:00+05:30,43288.2,43300.0,252.15,1544175.0,3994775.0,230.45,1110850.0,2547800.0,3992325.0,2526400.0,2450.0,98.0,21400.0,856.0,0.0,8.73,0.11,1.0
2023-05-08 12:15:00+05:30,43273.9,43300.0,245.35,1409575.0,3935350.0,240.5,1147700.0,2537300.0,3994775.0,2547800.0,-59425.0,-2377.0,-10500.0,-420.0,2.0,0.18,5.66,0.0
2023-05-08 12:20:00+05:30,43261.75,43300.0,245.0,1324800.0,4432800.0,243.6,978475.0,2670050.0,3935350.0,2537300.0,497450.0,19898.0,132750.0,5310.0,11.0,0.27,3.75,5.0
2023-05-08 12:25:00+05:30,43259.6,43300.0,245.45,1093700.0,4532500.0,240.95,689175.0,2732875.0,4432800.0,2670050.0,99700.0,3988.0,62825.0,2513.0,2.0,0.63,1.59,2.0
2023-05-08 12:30:00+05:30,43284.3,43300.0,253.5,1088175.0,4482200.0,231.65,789250.0,2776275.0,4532500.0,2732875.0,-50300.0,-2012.0,43400.0,1736.0,1.0,0.86,1.16,2.0
2023-05-08 12:35:00+05:30,43295.3,43300.0,246.25,1358575.0,4380400.0,232.15,643200.0,2813125.0,4482200.0,2776275.0,-101800.0,-4072.0,36850.0,1474.0,2.0,0.36,2.76,1.0
2023-05-08 12:40:00+05:30,43318.95,43300.0,265.7,1451425.0,4344475.0,211.15,945450.0,2849650.0,4380400.0,2813125.0,-35925.0,-1437.0,36525.0,1461.0,1.0,1.02,0.98,1.0
2023-05-08 12:45:00+05:30,43294.3,43300.0,252.0,1345300.0,4398175.0,223.4,772275.0,2918050.0,4344475.0,2849650.0,53700.0,2148.0,68400.0,2736.0,1.0,1.27,0.79,2.0
2023-05-08 12:50:00+05:30,43285.2,43300.0,250.9,1105225.0,4405550.0,227.6,881025.0,2945225.0,4398175.0,2918050.0,7375.0,295.0,27175.0,1087.0,0.0,3.68,0.27,1.0
2023-05-08 12:55:00+05:30,43265.65,43300.0,231.55,3353800.0,4324050.0,247.3,2189325.0,2861125.0,4405550.0,2945225.0,-81500.0,-3260.0,-84100.0,-3364.0,2.0,1.03,0.97,3.0
2023-05-08 13:00:00+05:30,43240.85,43200.0,277.95,1080925.0,3050700.0,209.2,1469575.0,3170875.0,4324050.0,2861125.0,-1273350.0,-50934.0,309750.0,12390.0,42.0,0.24,4.11,10.0
2023-05-08 13:05:00+05:30,43239.7,43200.0,287.65,882275.0,3174175.0,201.25,1009500.0,3285500.0,3050700.0,3170875.0,123475.0,4939.0,114625.0,4585.0,4.0,0.93,1.08,3.0
2023-05-08 13:10:00+05:30,43277.1,43300.0,249.7,2299875.0,4856050.0,231.7,1341300.0,3061350.0,3174175.0,3285500.0,1681875.0,67275.0,-224150.0,-8966.0,35.0,0.13,7.5,7.0
2023-05-08 13:15:00+05:30,43287.4,43300.0,251.75,1365400.0,4949550.0,225.55,965375.0,3108450.0,4856050.0,3061350.0,93500.0,3740.0,47100.0,1884.0,2.0,0.5,1.99,2.0
2023-05-08 13:20:00+05:30,43279.35,43300.0,245.0,1693175.0,4756100.0,231.0,1054450.0,3153025.0,4949550.0,3108450.0,-193450.0,-7738.0,44575.0,1783.0,4.0,0.23,4.34,1.0
2023-05-08 13:25:00+05:30,43294.45,43300.0,248.3,998950.0,4725775.0,227.3,746725.0,3128850.0,4756100.0,3153025.0,-30325.0,-1213.0,-24175.0,-967.0,1.0,0.8,1.25,1.0
2023-05-08 13:30:00+05:30,43308.8,43300.0,251.5,1342900.0,4776225.0,228.5,1299425.0,3372600.0,4725775.0,3128850.0,50450.0,2018.0,243750.0,9750.0,1.0,4.83,0.21,7.0
2023-05-08 13:35:00+05:30,43303.1,43300.0,256.25,1872575.0,4515150.0,225.4,1409275.0,3519800.0,4776225.0,3372600.0,-261075.0,-10443.0,147200.0,5888.0,6.0,0.56,1.77,4.0
2023-05-08 13:40:00+05:30,43293.4,43300.0,252.85,2274275.0,4397475.0,221.65,1730525.0,3304025.0,4515150.0,3519800.0,-117675.0,-4707.0,-215775.0,-8631.0,3.0,1.83,0.55,7.0
2023-05-08 13:45:00+05:30,43266.9,43300.0,245.05,2370100.0,4372400.0,231.3,2243325.0,3156100.0,4397475.0,3304025.0,-25075.0,-1003.0,-147925.0,-5917.0,1.0,5.9,0.17,5.0
2023-05-08 13:50:00+05:30,43317.4,43300.0,263.15,1609300.0,4540550.0,210.4,1215650.0,3101450.0,4372400.0,3156100.0,168150.0,6726.0,-54650.0,-2186.0,4.0,0.33,3.08,2.0
2023-05-08 13:55:00+05:30,43384.2,43400.0,254.75,4374125.0,3173025.0,217.6,1375850.0,1318625.0,4540550.0,3101450.0,-1367525.0,-54701.0,-1782825.0,-71313.0,43.0,1.3,0.77,135.0
2023-05-08 14:00:00+05:30,43367.95,43400.0,246.35,2968300.0,3379150.0,222.35,1437875.0,1541625.0,3173025.0,1318625.0,206125.0,8245.0,223000.0,8920.0,6.0,1.08,0.92,14.0
2023-05-08 14:05:00+05:30,43393.85,43400.0,253.0,1832975.0,3584800.0,216.55,764975.0,1601550.0,3379150.0,1541625.0,205650.0,8226.0,59925.0,2397.0,6.0,0.29,3.43,4.0
2023-05-08 14:10:00+05:30,43321.55,43300.0,270.95,2867600.0,3894425.0,197.95,1507800.0,3258900.0,3584800.0,1601550.0,309625.0,12385.0,1657350.0,66294.0,8.0,5.35,0.19,51.0
2023-05-08 14:15:00+05:30,43305.05,43300.0,257.9,4262950.0,3981050.0,210.7,3086675.0,3168575.0,3894425.0,3258900.0,86625.0,3465.0,-90325.0,-3613.0,2.0,1.04,0.96,3.0
2023-05-08 14:20:00+05:30,43296.9,43300.0,252.65,2379875.0,4022450.0,218.6,2018300.0,3283175.0,3981050.0,3168575.0,41400.0,1656.0,114600.0,4584.0,1.0,2.77,0.36,3.0
2023-05-08 14:25:00+05:30,43298.1,43300.0,262.85,1126575.0,4091800.0,206.0,1078650.0,3344200.0,4022450.0,3283175.0,69350.0,2774.0,61025.0,2441.0,2.0,0.88,1.14,2.0
2023-05-08 14:30:00+05:30,43287.0,43300.0,267.0,2765775.0,4204750.0,212.2,1918650.0,3445100.0,4091800.0,3344200.0,112950.0,4518.0,100900.0,4036.0,3.0,0.89,1.12,3.0
2023-05-08 14:35:00+05:30,43325.75,43300.0,273.8,1225400.0,4234575.0,201.8,1130550.0,3578950.0,4204750.0,3445100.0,29825.0,1193.0,133850.0,5354.0,1.0,4.49,0.22,4.0
2023-05-08 14:40:00+05:30,43340.1,43300.0,273.7,2594050.0,4184900.0,197.6,1586650.0,3524725.0,4234575.0,3578950.0,-49675.0,-1987.0,-54225.0,-2169.0,1.0,1.09,0.92,2.0
2023-05-08 14:45:00+05:30,43345.75,43300.0,270.0,1288550.0,4307475.0,198.9,1015850.0,3382375.0,4184900.0,3524725.0,122575.0,4903.0,-142350.0,-5694.0,3.0,1.16,0.86,4.0
2023-05-08 14:50:00+05:30,43331.35,43300.0,258.2,1634975.0,4217550.0,211.15,1636475.0,3425125.0,4307475.0,3382375.0,-89925.0,-3597.0,42750.0,1710.0,2.0,0.48,2.1,1.0
2023-05-08 14:55:00+05:30,43332.45,43300.0,263.9,1215425.0,4223475.0,215.05,1691425.0,3466800.0,4217550.0,3425125.0,5925.0,237.0,41675.0,1667.0,0.0,7.03,0.14,1.0
2023-05-08 15:00:00+05:30,43298.35,43300.0,252.8,3168425.0,4045425.0,215.4,3095950.0,3599500.0,4223475.0,3466800.0,-178050.0,-7122.0,132700.0,5308.0,4.0,0.75,1.34,4.0
2023-05-08 15:05:00+05:30,43200.9,43200.0,263.3,1687850.0,2183625.0,208.1,3404025.0,2664175.0,4045425.0,3599500.0,-1861800.0,-74472.0,-935325.0,-37413.0,85.0,0.5,1.99,35.0
2023-05-08 15:10:00+05:30,43306.4,43300.0,248.1,3355275.0,3660975.0,210.9,3349975.0,3035575.0,2183625.0,2664175.0,1477350.0,59094.0,371400.0,14856.0,40.0,0.25,3.98,12.0
2023-05-08 15:15:00+05:30,43328.0,43300.0,257.15,2076300.0,3523400.0,195.6,1848175.0,3056300.0,3660975.0,3035575.0,-137575.0,-5503.0,20725.0,829.0,4.0,0.15,6.64,1.0
2023-05-08 15:20:00+05:30,43350.05,43400.0,210.7,1588150.0,2959200.0,229.0,812800.0,1033950.0,3523400.0,3056300.0,-564200.0,-22568.0,-2022350.0,-80894.0,19.0,3.58,0.28,196.0
2023-05-08 15:25:00+05:30,43314.4,43300.0,239.95,1701575.0,2869900.0,197.0,1367350.0,2523750.0,2959200.0,1033950.0,-89300.0,-3572.0,1489800.0,59592.0,3.0,16.68,0.06,59.0
